dhreinscription;Total;01 - Ambulance;02 - Ambulant;03 - Police;06 - Transport adapté;07 - Fourgon (prison);Total_Transfert;ALBERT-PREVOST;C H LAURENTIEN;C H REGIONAL LANAUDIERE;C. A REAL-MOREL;C.H  PIERRE BOUCHER;C.H DE VAL-D'OR;C.H HONORE-MERCIER;C.H. HOTEL-DIEU D'AMOS;C.H. LASALLE;C.H. REG. SUROIT;C.H. VERDUN;C.H.PIERRE LE GARDEUR;CA VAUDREUIL;CENTRE D'ACCUEIL DE LACHI;CENTRE D'ACCUEIL LASALLE;CENTRE D'ACCUEIL NAZAIRE ;CENTRE DE SANTE INUULITSI;CENTRE HOSPITALIER DE GRA;CENTRE HOSPITALIER FLEURY;CENTRE LOCAL DE SERVICES ;CH MONTREAL ENFANTS;CH REG GRAND-PORTAGE;CH RIMOUSKI;CH UNIV LAVAL;CHCD GERIATRIQUE MAIMONID;CHCD NEUROL DE MONTREAL;CHCD REGIONAL LA MAURICIE;CHCD STE-ANNE;CHLD GRACE DART MONTREAL;CHSLD  S. MENTALE LACHINE;CHSLD EMILIE-GAMELIN;CHUM;CHUM HOTEL-DIEU;CITE DE LA SANTE DE LAVAL;CLINIQUE  POINTE ST-CHARL;CLSC DE SAINT-HENRI;CLSC DU VIEUX LACHINE;CLSC FAUBOURGS VISITATION;CLSC LA SALLE;CLSC VERDUN / COTE ST-PAU;CONSEIL CRI DE LA SANTE E;CS INUULITSIVIK;CS TULATTAVIK DE L'UNGAVA;CTRE HOSP ANNA-LABERGE;CTRE PSY RIV DES PRAIRIES;DISPENSAIRE DE MISTASSINI;DISPENSAIRE DE WASKAGANIS;DISPENSAIRE DE WASWANIPI ;FOYER DORVAL;GENERAL JUIF;HOP PSY EST MONTREAL;HOP. BARRIE MEMORIAL;HOP. BROME-MISSISQUOI-PER;HOP. CHICOUTIMI;HOP. DE MANIWAKI;HOP. GENERAL DU LAKESHORE;HOP. GENERAL MTL;HOP. NOTRE-DAME CHUM;HOP. SAINTE-CROIX;HOP. SAINT-EUSTACHE;HOP. SAINT-LUC CHUM;HOP. SEPT-ILES;HOP. SHRINERS POUR ENFANT;HOPITAL  DE PAPINEAU;HOPITAL CHARLES LEMOYNE;HOPITAL DE CHISASIBI;HOPITAL DE LACHINE;HOPITAL DE L'ENFANT-JESUS;HOPITAL DU HAUT-RICHELIEU;HOPITAL GATINEAU;HOPITAL JEAN-TALON;HOPITAL LANAUDIERE ET CHS;Hôpital Notre-Dame;HOPITAL ROYAL VICTORIA;HOPITAL SAINTE-JUSTINE;HOPITAL SANTA CABRINI;HOTEL-DIEU D'ARTHABASKA;HOTEL-DIEU DE LEVIS / PAV;HOTEL-DIEU DE SAINT-JEROM;HOTEL-DIEU DE SHERBROOKE;HOTEL-DIEU DE SOREL;INST CARDIO;INST.UNIV. CARDIO QUEBEC;INSTITUT PHILIPPE PINEL M;LE CENTRE DOLLARD CORMIER;LOUIS-H LAFONTAINE;MAISONNEUVE-ROSEMONT;ONTARIO;PAV. CAM LEFEBVRE (CHSLD);PAV.MANOIR DE VERDUN;PAV.STE-MARIE (TROIS-RIV);PAVILLON CHAMPLAIN;PT DE SERVICE  CHIBOUGAMA;RESIDENCE LOUVAIN;RESIDENCE YVON-BRUNET;RIVIERE-DES-PRAIRIES;SACRE-COEUR;SANTA CABRINI;ST. MARY
2016-01-21;19;3;15;1;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016-01-22;24;6;18;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016-01-23;7;0;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016-01-24;7;0;6;0;1;0;4;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016-01-25;23;5;16;2;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016-01-26;17;5;11;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2016-01-27;19;3;16;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016-01-28;19;0;15;2;2;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016-01-29;31;4;24;3;0;0;6;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016-01-30;18;4;14;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016-01-31;11;3;8;0;0;0;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016-02-01;23;2;19;1;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016-02-02;32;5;27;0;0;0;5;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016-02-03;10;1;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016-02-04;25;3;21;1;0;0;6;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016-02-05;25;2;20;3;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016-02-06;12;1;11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016-02-07;6;2;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016-02-08;13;2;11;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2016-02-09;30;0;30;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
